Athletics Events List
Total unique events: 76
==================================================

100 metres                               (3239 participants)
100 metres Backstroke                    (1 participants)
100 metres Freestyle                     (3 participants)
100 metres Hurdles                       (459 participants)
1000 metres                              (5 participants)
10000 metres                             (1299 participants)
10000 metres Race Walk                   (193 participants)
110 metres Hurdles                       (990 participants)
1200 metres Freestyle                    (2 participants)
1500 metres                              (1817 participants)
1500 metres Team                         (1 participants)
1600 metres Medley Relay                 (17 participants)
16000 metres Race Walk                   (30 participants)
200 metres                               (2590 participants)
200 metres Breaststroke                  (1 participants)
200 metres Hurdles                       (15 participants)
2000 metres Steeplechase                 (3 participants)
20000 metres Race Walk                   (1104 participants)
2500 metres Steeplechase                 (22 participants)
3000 metres                              (99 participants)
3000 metres Race Walk                    (21 participants)
3000 metres Steeplechase                 (994 participants)
3000 metres Team                         (75 participants)
3200 metres Steeplechase                 (30 participants)
3500 metres Race Walk                    (22 participants)
4 × 100 metres Relay                     (3535 participants)
4 × 400 metres Relay                     (2936 participants)
400 metres                               (2278 participants)
400 metres Hurdles                       (1230 participants)
4000 metres Steeplechase                 (5 participants)
4X100 metres Relay                       (127 participants)
4X400 metres Relay                       (103 participants)
500 metres Freestyle                     (4 participants)
5000 metres                              (1424 participants)
5000 metres Race Walk                    (2 participants)
5000 metres Team                         (13 participants)
50000 metres Race Walk                   (847 participants)
55 metres                                (2 participants)
56-pound Weight Throw                    (23 participants)
60 metres                                (17 participants)
8 × 100 metres Relay Mixed Youth         (21 participants)
80 metres Hurdles                        (186 participants)
800 metres                               (2055 participants)
8000 metres                              (62 participants)
Cross-Country Individual                 (151 participants)
Cross-Country Team                       (60 participants)
Decathlon                                (813 participants)
Discus Throw                             (1457 participants)
Discus Throw Both Hands                  (34 participants)
Discus Throw Greek Style                 (56 participants)
Hammer Throw                             (908 participants)
Heptathlon                               (317 participants)
High Jump                                (1525 participants)
Individual All-Around                    (5 participants)
Individual All-Around Apparatus Work     (2 participants)
Javelin Throw                            (1262 participants)
Javelin Throw Both Hands                 (24 participants)
Javelin Throw Freestyle                  (57 participants)
Long Jump                                (1713 participants)
Marathon                                 (3034 participants)
Medley Relay                             (5 participants)
Military Pistol 25 metres                (1 participants)
Military Rifle 200 metres                (4 participants)
Pentathlon                               (209 participants)
Pole Vault                               (926 participants)
Rapid-Fire Pistol 25 metres              (1 participants)
Shot Put                                 (1215 participants)
Shot Put Both Hands                      (17 participants)
Small-Bore Rifle Prone 50 metres         (1 participants)
Special Scratch Pole Vault #2            (2 participants)
Standing High Jump                       (66 participants)
Standing Long Jump                       (74 participants)
Standing Triple Jump                     (19 participants)
Stone Throw                              (2 participants)
Team All-Around                          (1 participants)
Triple Jump                              (1139 participants)
