Gender,Event,Location,Year,Medal,Name,Nationality,NOC,Result
M,100 metres,Athens,1896,G,Thomas BURKE,USA,USA,12.0
M,100 metres,Athens,1896,S,Fritz HOFMANN,GER,GER,12.2
M,100 metres,Athens,1896,B,Alajos SZOKOLYI,HUN,HUN,12.6
M,100 metres,Athens,1896,B,Francis LANE,USA,USA,12.6
M,100 metres,Athens,1896,None,Fritz Traun,GER,GER,
M,100 metres,Athens,1896,None,Adolphe Grisel,FRA,FRA,
M,100 metres,Athens,1896,None,Harald Arbin,SWE,SWE,
M,100 metres,Athens,1896,None,Eugen Schmidt,DEN,DEN,
M,100 metres,Athens,1896,None,Alexandre Tuffèri,FRA,FRA,
M,100 metres,Athens,1896,None,Launceston Elliot,GBR,GBR,
M,100 metres,Athens,1896,None,Charles Gmelin,GBR,GBR,
M,100 metres,Athens,1896,None,George Marshall,GBR,GBR,
M,100 metres,Athens,1896,None,Kurt Doerry,GER,GER,
M,100 metres,Athens,1896,None,Alexandros Chalkokondylis,GRE,GRE,
M,100 metres,Athens,1896,None,Georgios Gennimatas,GRE,GRE,
M,100 metres,Athens,1896,None,Nándor Dáni,HUN,HUN,
M,100 metres,Athens,1896,None,Henrik Sjöberg,SWE,SWE,
M,100 metres,Athens,1896,None,Tom Curtis,USA,USA,
M,100 metres Freestyle,Athens,1896,None,Holger Nielsen,DEN,DEN,
M,100 metres Freestyle,Athens,1896,None,Adolphe Grisel,FRA,FRA,
M,100 metres Freestyle,Athens,1896,None,Frantz Reichel,FRA,FRA,
M,110 metres Hurdles,Athens,1896,G,Thomas CURTIS,USA,USA,17.6
M,110 metres Hurdles,Athens,1896,S,Grantley GOULDING,GBR,GBR,17.7
M,110 metres Hurdles,Athens,1896,None,Fritz Traun,GER,GER,
M,110 metres Hurdles,Athens,1896,None,Fritz Hofmann,GER,GER,
M,110 metres Hurdles,Athens,1896,None,Harald Arbin,SWE,SWE,
M,110 metres Hurdles,Athens,1896,None,Frantz Reichel,FRA,FRA,
M,110 metres Hurdles,Athens,1896,None,Kurt Doerry,GER,GER,
M,110 metres Hurdles,Athens,1896,None,Anastasios Andreou,GRE,GRE,
M,110 metres Hurdles,Athens,1896,None,Athanasios Skaltsogiannis,GRE,GRE,
M,110 metres Hurdles,Athens,1896,None,Alajos Szokoly,HUN,HUN,
M,110 metres Hurdles,Athens,1896,None,Henrik Sjöberg,SWE,SWE,
M,110 metres Hurdles,Athens,1896,None,James B. Connolly,USA,USA,
M,110 metres Hurdles,Athens,1896,None,Bill Hoyt,USA,USA,
M,1200 metres Freestyle,Athens,1896,None,Holger Nielsen,DEN,DEN,
M,1200 metres Freestyle,Athens,1896,None,Adolphe Grisel,FRA,FRA,
M,1500 metres,Athens,1896,G,Edwin FLACK,AUS,AUS,4:33.2
M,1500 metres,Athens,1896,S,Arthur BLAKE,USA,USA,4:34.0
