Location,Year,Distance,Stroke,Relay?,Gender,Team,Athlete,Results,Rank,Experience,Previous_Best,Previous_Average
Paris,1924,100.0,Freestyle,0,Men,HUN,A. Turnovsky,,0,0.0,,
Tokyo,1964,100.0,Butterfly,0,Women,NED,Aagje Ada Kok,65.599999,2,0.0,,
City,1968,100.0,Butterfly,0,Women,NED,Aagje Ada Kok,66.2,3,1.0,65.599999,65.599999
City,1968,200.0,Butterfly,0,Women,NED,Aagje Ada Kok,144.7,1,0.0,,
Stockholm,1912,100.0,Freestyle,0,Women,NOR,Aagot Normann,,0,0.0,,
Athens,2004,100.0,Backstroke,0,Men,USA,Aaron Peirsol,54.06,1,0.0,,
Beijing,2008,100.0,Backstroke,0,Men,USA,Aaron Peirsol,52.54,1,1.0,54.06,54.06
Sydney,2000,200.0,Backstroke,0,Men,USA,Aaron Peirsol,117.35,2,0.0,,
Athens,2004,200.0,Backstroke,0,Men,USA,Aaron Peirsol,114.95,1,1.0,117.35,117.35
Beijing,2008,200.0,Backstroke,0,Men,USA,Aaron Peirsol,114.33,2,2.0,114.95,116.15
Rome,1960,100.0,Butterfly,0,Women,NED,Aartje Johanna Voorbij,73.3,4,0.0,,
Tokyo,2020,50.0,Freestyle,0,Women,USA,Abbey Weitzeil,24.41,4,0.0,,
Rio,2016,100.0,Freestyle,0,Women,USA,Abbey Weitzeil,53.3,4,0.0,,
Tokyo,2020,100.0,Freestyle,0,Women,USA,Abbey Weitzeil,53.23,4,1.0,53.3,53.3
Tokyo,2020,200.0,Breaststroke,0,Women,GBR,Abbie Wood,143.72,4,0.0,,
Tokyo,2020,200.0,Individual medley,0,Women,GBR,Abbie Wood,129.15,4,0.0,,
Rio,2016,100.0,Breaststroke,0,Men,GBR,Adam Peaty,57.13,1,0.0,,
Tokyo,2020,100.0,Breaststroke,0,Men,GBR,Adam Peaty,57.37,1,1.0,57.13,57.13
Tokyo,2020,200.0,Backstroke,0,Men,HUN,Adam Telegdy,116.15,4,0.0,,
Rome,1960,200.0,Breaststroke,0,Women,NED,Adelaide Henriette (Ada) Den Haan,174.4,4,0.0,,
Berlin,1936,100.0,Backstroke,0,Men,USA,Adolph Gustav Kiefer,65.9,1,0.0,,
Angeles,1984,100.0,Breaststroke,0,Men,GBR,Adrian David Moorhouse,63.25,4,0.0,,
Seoul,1988,100.0,Breaststroke,0,Men,GBR,Adrian David Moorhouse,62.04,1,1.0,63.25,63.25
Barcelona,1992,100.0,Breaststroke,0,Men,GBR,Adrian David Moorhouse,62.33,4,2.0,62.04,62.644999999999996
London,1948,200.0,Breaststroke,0,Women,NED,Adriana Elisabeth De Groot,186.2,4,0.0,,
Paris,1924,200.0,Breaststroke,0,Women,USA,Agnes Geraghty,214.0,2,0.0,,
Munich,1972,100.0,Breaststroke,0,Women,HUN,Agnes Kaczander-Kiss,76.26,4,0.0,,
Munich,1972,200.0,Breaststroke,0,Women,HUN,Agnes Kaczander-Kiss,163.41,4,0.0,,
Atlanta,1996,100.0,Breaststroke,0,Women,HUN,Agnes Kovacs,69.55,4,0.0,,
Sydney,2000,100.0,Breaststroke,0,Women,HUN,Agnes Kovacs,68.09,4,1.0,69.55,69.55
Atlanta,1996,200.0,Breaststroke,0,Women,HUN,Agnes Kovacs,146.57,3,0.0,,
Sydney,2000,200.0,Breaststroke,0,Women,HUN,Agnes Kovacs,144.35,1,1.0,146.57,146.57
Athens,2004,200.0,Breaststroke,0,Women,HUN,Agnes Kovacs,146.12,4,2.0,144.35,145.45999999999998
Athens,2004,200.0,Individual medley,0,Women,HUN,Agnes Kovacs,133.58,4,0.0,,
Moscow,1980,100.0,Freestyle,0,Women,SWE,Agneta Eriksson,57.9,4,0.0,,
Moscow,1980,100.0,Butterfly,0,Women,SWE,Agneta Märtensson,62.61,4,0.0,,
Moscow,1980,200.0,Butterfly,0,Women,SWE,Agneta Märtensson,135.22,4,0.0,,
Moscow,1980,400.0,Individual medley,0,Women,POL,Agnieszka Czopek,288.17,3,0.0,,
Tokyo,2020,400.0,Freestyle,0,Men,TUN,Ahmed Hafnaoui,223.36,1,0.0,,
London,1948,200.0,Breaststroke,0,Men,EGY,Ahmed Kandil,167.5,4,0.0,,
Athens,2004,400.0,Freestyle,0,Women,JPN,Ai Shibata,247.51,4,0.0,,
