iter	Passed	Remaining
0	197	78922
1	232	46179
2	264	34992
3	303	30008
4	339	26821
5	382	25108
6	419	23567
7	455	22341
8	490	21323
9	521	20347
10	548	19405
11	574	18570
12	601	17902
13	627	17304
14	657	16883
15	687	16497
16	717	16162
17	747	15871
18	780	15647
19	806	15327
20	836	15095
21	882	15157
22	923	15137
23	956	14982
24	995	14933
25	1035	14895
26	1071	14805
27	1119	14872
28	1153	14759
29	1187	14640
30	1221	14544
31	1256	14455
32	1290	14346
33	1321	14227
34	1352	14103
35	1383	13992
36	1427	14001
37	1468	13988
38	1512	13999
39	1543	13893
40	1568	13734
41	1594	13595
42	1619	13441
43	1644	13305
44	1669	13166
45	1699	13076
46	1741	13081
47	1774	13015
48	1802	12914
49	1835	12848
50	1867	12777
51	1898	12707
52	1930	12637
53	1961	12567
54	1986	12461
55	2015	12379
56	2041	12287
57	2064	12171
58	2088	12068
59	2112	11969
60	2137	11879
61	2160	11777
62	2183	11678
63	2210	11602
64	2231	11498
65	2257	11423
66	2282	11346
67	2308	11271
68	2332	11191
69	2358	11119
70	2383	11046
71	2411	10986
72	2443	10946
73	2471	10886
74	2497	10822
75	2528	10778
76	2552	10708
77	2578	10644
78	2608	10600
79	2643	10573
80	2673	10528
81	2697	10462
82	2730	10427
83	2754	10360
84	2776	10287
85	2797	10214
86	2820	10146
87	2841	10075
88	2870	10029
89	2897	9981
90	2923	9927
91	2955	9893
92	2986	9858
93	3021	9836
94	3057	9816
95	3081	9759
96	3104	9696
97	3125	9632
98	3148	9572
99	3170	9510
100	3191	9447
101	3214	9390
102	3236	9331
103	3257	9271
104	3280	9215
105	3303	9161
106	3324	9104
107	3347	9049
108	3368	8993
109	3391	8940
110	3413	8887
111	3435	8834
112	3458	8785
113	3480	8732
114	3502	8679
115	3524	8628
116	3546	8578
117	3568	8528
118	3595	8489
119	3628	8466
120	3654	8426
121	3684	8396
122	3713	8363
123	3745	8335
124	3768	8290
125	3796	8256
126	3826	8226
127	3849	8180
128	3872	8134
129	3895	8090
130	3918	8046
131	3975	8070
132	4010	8050
133	4041	8023
134	4072	7993
135	4110	7978
136	4135	7938
137	4159	7896
138	4183	7855
139	4207	7813
140	4218	7748
