iter	Passed	Remaining
0	181	72597
1	210	41923
2	239	31675
3	268	26552
4	295	23355
5	322	21157
6	349	19606
7	394	19316
8	422	18342
9	457	17836
10	491	17390
11	530	17139
12	574	17095
13	623	17203
14	666	17099
15	694	16661
16	725	16334
17	758	16106
18	791	15867
19	834	15846
20	867	15659
21	900	15466
22	943	15461
23	1011	15846
24	1082	16239
25	1123	16156
26	1162	16059
27	1195	15877
28	1221	15630
29	1250	15424
30	1284	15285
31	1316	15139
32	1349	15010
33	1380	14861
34	1418	14790
35	1465	14821
36	1496	14680
37	1522	14502
38	1549	14344
39	1588	14294
40	1617	14164
41	1646	14031
42	1675	13911
43	1709	13831
44	1740	13728
45	1769	13614
46	1798	13509
47	1828	13408
48	1858	13316
49	1901	13313
50	1956	13389
51	1988	13307
52	2019	13220
53	2049	13128
54	2077	13030
55	2103	12920
56	2130	12820
57	2160	12742
58	2189	12657
59	2217	12565
60	2245	12478
61	2282	12442
62	2315	12384
63	2348	12329
64	2372	12225
65	2397	12133
66	2425	12055
67	2452	11972
68	2479	11895
69	2508	11824
70	2548	11807
71	2575	11734
72	2613	11707
73	2658	11711
74	2750	11916
75	2795	11916
76	2845	11934
77	2880	11892
78	2933	11917
79	2962	11850
80	2990	11778
81	3019	11711
82	3048	11642
83	3091	11631
84	3139	11635
85	3196	11671
86	3277	11790
87	3310	11736
88	3344	11686
89	3375	11627
90	3416	11601
91	3447	11542
92	3488	11517
93	3531	11495
94	3573	11473
95	3619	11462
96	3672	11472
97	3719	11460
98	3762	11441
99	3797	11392
100	3844	11381
101	3893	11374
102	3942	11368
103	3980	11328
104	4023	11303
105	4068	11285
106	4129	11306
107	4186	11318
108	4222	11273
109	4264	11242
110	4307	11216
111	4345	11173
112	4399	11174
113	4437	11131
114	4484	11113
115	4540	11116
116	4578	11074
117	4622	11046
118	4683	11060
119	4728	11033
120	4772	11003
121	4822	10988
122	4862	10950
123	4907	10922
124	4947	10883
125	4986	10843
126	5035	10823
127	5070	10774
128	5131	10780
129	5192	10783
130	5238	10757
131	5292	10745
132	5342	10724
133	5382	10684
134	5426	10652
135	5472	10623
136	5507	10573
137	5558	10553
138	5615	10544
139	5654	10501
140	5681	10436
141	5733	10418
142	5775	10380
143	5812	10333
144	5838	10268
145	5866	10206
146	5932	10210
147	5985	10190
148	6071	10227
149	6131	10219
150	6208	10237
151	6262	10218
152	6299	10170
153	6344	10134
154	6374	10075
155	6421	10043
156	6452	9986
157	6484	9932
158	6531	9899
159	6566	9849
160	6612	9816
161	6642	9758
162	6675	9705
163	6707	9652
164	6739	9598
165	6784	9563
166	6817	9511
167	6849	9458
168	6886	9412
169	6926	9370
170	6974	9339
171	7032	9322
172	7076	9285
173	7119	9246
174	7168	9217
175	7212	9179
176	7250	9134
177	7297	9101
